what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1339016554736
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339016554736
java.specification.version,sysinfo,,,"1.6",1339016554736
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1339016554736
java.version,sysinfo,,,"1.6.0_24",1339016554736
java.vm.info,sysinfo,,,"mixed mode",1339016554736
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1339016554736
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339016554736
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339016554737
java.vm.specification.version,sysinfo,,,"1.0",1339016554737
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339016554737
java.vm.version,sysinfo,,,"20.0-b12",1339016554737
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1339016555766
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1339016558023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339016558096
